re0000000001_k1,1000
re0000000002_k1,1.00E-20
re0000000003_k1,1.00E-20
re0000000004_k1,1.00E-20
re0000000005_k1,1.00E-20
re0000000006_k1,1.00E-20
re0000000007_k1,1.00E-20
re0000000008_k1,1.00E-20
re0000000009_k1,1.00E-20
re0000000010_k1,1.00E-20
re0000000011_k1,1.00E-20
re0000000012_k1,1.00E-20
re0000000013_k1,140
re0000000014_k1,260
re0000000015_k1,1.00E-20
re0000000016_k1,1000
re0000000017_k1,7
re0000000018_k1,1000
re0000000019_k1,30
re0000000020_k1,25
re0000000021_k1,0.23
re0000000022_k1,31
re0000000023_k1,5
re0000000024_k1,5
re0000000025_k1,1000
re0000000026_k1,1.00E-20
re0000000027_k1,1.00E-20
re0000000028_k1,1000
re0000000029_k1,1.00E-20
re0000000030_k1,1.00E-20
re0000000031_k1,1.00E-20
re0000000032_k1,1.00E-20
re0000000033_k1,1.00E-20
re0000000034_k1,1.00E-20
re0000000035_k1,1.00E-20
re0000000036_k1,1.00E-20
re0000000037_k1,1.00E-20
re0000000038_k1,1.00E-20
re0000000039_k1,1.00E-20
re0000000040_k1,1.00E-20
re0000000041_k1,1.00E-20
re0000000042_k1,1.00E-20
re0000000043_k1,1.00E-20
re0000000044_k1,1.00E-20
re0000000045_k1,1.00E-20
re0000000046_k1,1.00E-20
re0000000047_k1,1.00E-20
re0000000048_k1,1.00E-20
re0000000049_k1,1.00E-20
re0000000050_k1,1.00E-20
re0000000051_k1,1.00E-20
re0000000052_k1,1.00E-20
re0000000053_k1,1.00E-20
re0000000054_k1,1.00E-20
re0000000055_k1,1.00E-20
re0000000056_k1,1.00E-20
re0000000057_k1,1.00E-20
re0000000058_k1,1.00E-20
re0000000059_k1,1.00E-20
re0000000060_k1,1.00E-20
re0000000061_k1,1.00E-20
re0000000062_k1,1.00E-20
re0000000063_k1,1.00E-20
re0000000064_k1,1.00E-20
re0000000065_k1,1.00E-20
re0000000066_k1,1.00E-20
re0000000067_k1,1.00E-20
re0000000068_k1,1000
re0000000069_k1,1.00E-20
re0000000070_k1,1.00E-20
re0000000071_k1,1.00E-20
re0000000072_k1,1.00E-20
re0000000073_k1,1.00E-20
re0000000074_k1,140
re0000000075_k1,260
re0000000076_k1,1.00E-20
re0000000077_k1,1000
re0000000078_k1,7
re0000000079_k1,1000
re0000000080_k1,30
re0000000081_k1,25
re0000000082_k1,0.23
re0000000083_k1,31
re0000000084_k1,5
re0000000085_k1,5
re0000000086_k1,1000
re0000000087_k1,1.00E-20
re0000000088_k1,1.00E-20
re0000000089_k1,1000
re0000000090_k1,1.00E-20
re0000000091_k1,1.00E-20
re0000000092_k1,1.00E-20
re0000000093_k1,1.00E-20
re0000000094_k1,1.00E-20
re0000000095_k1,1.00E-20
re0000000096_k1,1.00E-20
re0000000097_k1,1.00E-20
re0000000098_k1,1.00E-20
re0000000099_k1,1.00E-20
re0000000100_k1,1.00E-20
re0000000101_k1,1.00E-20
re0000000102_k1,1.00E-20
re0000000103_k1,1.00E-20
re0000000104_k1,1.00E-20
re0000000105_k1,1.00E-20
re0000000106_k1,1.00E-20
re0000000107_k1,1.00E-20
re0000000108_k1,1.00E-20
re0000000109_k1,1.00E-20
re0000000110_k1,1.00E-20
re0000000111_k1,1.00E-20
re0000000112_k1,1.00E-20
re0000000113_k1,1.00E-20
