,0,1,2,value_ave,sem,Time,error_low,error_high
0,0.0022668724123246615,0.004533744824649323,0.0038860669925565626,0.003562228076510182,0.0006741244608377172,24.0,0.0028881036156724648,0.004236352537347899
1,0.0032383891604638023,0.005181422656742083,0.004371825366626133,0.00426387906127734,0.0005634962571729268,204.0,0.003700382804104413,0.004827375318450266
2,0.0024287918703478515,0.004533744824649323,0.0035622280765101825,0.003508254923835786,0.0006082465401635628,384.0,0.0029000083836722233,0.004116501463999348
3,0.0037241475345333726,0.005991019946858034,0.004209905908602943,0.004641691129998116,0.0006890830843715721,564.0,0.003952608045626544,0.005330774214369689
4,0.0046956642826725134,0.005667181030811654,0.005019503198718894,0.005127449504067687,0.00028559907890114873,744.0,0.004841850425166538,0.005413048582968836
5,0.008581731275229076,0.009229409107321836,0.0069625366949971745,0.008257892359182695,0.0006741244608377173,924.0,0.007583767898344978,0.008932016820020412
6,0.01360123447394797,0.01554426797022625,0.012629717725808828,0.01392507338999435,0.0008567972367034464,1104.0,0.013068276153290904,0.014781870626697797
7,0.022830643581269804,0.024773677077548087,0.022344885207200234,0.023316401955339378,0.0007420081728774936,1284.0,0.022574393782461885,0.02405841012821687
8,0.039994106131727956,0.04015602558975115,0.03805107263544968,0.0394004014523096,0.0006762816646260314,1464.0,0.03872411978768357,0.04007668311693563
9,0.05958636055253396,0.06347242754509053,0.05845292434637163,0.0605039041479987,0.0015198977792021725,1644.0,0.05898400636879653,0.062023801927200875
10,0.08646499058438352,0.0965039969818213,0.08597923221031395,0.08964940659217292,0.003430162647110173,1824.0,0.08621924394506275,0.0930795692392831
11,0.12143959351739259,0.13325971395308545,0.12338262701367086,0.1260273114947163,0.0036594434359058354,2004.0,0.12236786805881046,0.12968675493062212
12,0.16337673314539883,0.17973059840574102,0.17082502821446557,0.17131078658853513,0.004727197835816366,2184.0,0.16658358875271875,0.1760379844243515
13,0.2142194429646805,0.2404503951644373,0.21794359049921389,0.22420447620944392,0.008193792990915,2364.0,0.21601068321852893,0.23239826920035891
14,0.2705674143567507,0.29874140005278577,0.27914914563197973,0.2828193200138387,0.008337585631644967,2544.0,0.2744817343821937,0.2911569056454837
15,0.337278231062305,0.3622138275978763,0.3419738953449775,0.34715531800171956,0.007650301719693787,2724.0,0.3395050162820258,0.35480561972141333
16,0.40900855096657823,0.4341060669601727,0.4077131953023927,0.4169426044097146,0.008589874302823427,2904.0,0.40835273010689116,0.425532478712538
17,0.4881871659399182,0.5040552728261908,0.4817103876189906,0.4913176087950332,0.006637600672999089,3084.0,0.48468000812203416,0.4979552094680323
18,0.5552218215615189,0.5680134587453509,0.5534407075232638,0.5588919959433779,0.004589622516799934,3264.0,0.554302373426578,0.5634816184601779
19,0.6154558599461456,0.6488112682989228,0.6295428527941631,0.6312699936797438,0.009667524300876494,3444.0,0.6216024693788673,0.6409375179806203
20,0.6980347835379725,0.7202177492871497,0.701758931072506,0.7066704879658761,0.006858414192189999,3624.0,0.699812073773686,0.7135289021580661
21,0.7815852238779386,0.7877381632828199,0.7634502445793414,0.7775912105800332,0.0072901727323975455,3804.0,0.7703010378476357,0.7848813833124307
22,0.8408477455144262,0.8675644560882526,0.8421431011786118,0.850185100927097,0.008697719546666193,3984.0000000000005,0.8414873813804308,0.8588828204737632
23,0.9310368836333431,0.9404282121986881,0.9073966427619574,0.9262872461979962,0.009826671811772065,4164.0,0.9164605743862241,0.9361139180097683
24,1.0107012569807527,1.0150730823473788,0.9843083853229727,1.0033609082170347,0.009609495056637777,4344.0,0.993751413160397,1.0129704032736726
25,1.080812382304794,1.070611456449333,1.0599247722198024,1.0704495369913098,0.0060302771411941125,4524.0,1.0644192598501157,1.076479814132504
26,1.1650105004768527,1.1369984342388408,1.1109294014971074,1.1376461120709338,0.015615226881102213,4704.0,1.1220308851898315,1.153261338952036
27,1.231721317182407,1.2148816935479954,1.1999851034098619,1.215529371380088,0.009167177520640515,4884.0,1.2063621938594475,1.2246965489007287
28,1.3034516370866804,1.2838593826658744,1.268962792527741,1.2854246040934318,0.009986783571978802,5064.0,1.275437820521453,1.2954113876654108
29,1.3712958899983971,1.342150387554223,1.3424742264702691,1.3519735013409633,0.009661646607119467,5244.0,1.3423118547338437,1.3616351479480828
30,1.4488553103915052,1.413880707458496,1.3965553254500147,1.4197637811000055,0.015381590975617556,5424.0,1.4043821901243878,1.435145372075623
31,1.5053652012415983,1.4728193901789373,1.4384924650780209,1.4722256854995186,0.01930677838166027,5604.0,1.4529189071178583,1.4915324638811789
32,1.5800100713902892,1.5291673615710073,1.5124896573946187,1.5405556967853051,0.020306174847006454,5784.0,1.5202495219382988,1.5608618716323115
33,1.6326338952478259,1.589401399955634,1.5751524876495935,1.5990625942843513,0.017282284395313208,5964.0,1.5817803098890382,1.6163448786796644
34,1.6850957996473395,1.644615935141542,1.6340911703700345,1.6546009683863054,0.015547172503953911,6144.0,1.6390537958823514,1.6701481408902594
35,1.744358321283827,1.6904391417621047,1.657407572325374,1.697401678457102,0.025340783163580807,6324.0,1.6720608952935212,1.7227424616206828
36,1.7799806020489288,1.7200704025803486,1.7189369663741862,1.7396626570011546,0.020161627654737845,6504.0,1.7195010293464168,1.7598242846558925
37,1.8236988557151903,1.777551810178581,1.7679985621552128,1.7897497426829947,0.017197120337463408,6684.0,1.7725526223455312,1.8069468630204581
38,1.8834471357257474,1.838757365311347,1.8134979298597291,1.8452341436322743,0.020450626260870998,6864.0,1.8247835173714033,1.8656847698931454
