

Software Version	3.04.17



Experiment File Path:	C:\Users\Biotek4\Box\biocircuits\ZJurado\Projects\Organelles\PURExpress_frex_systems\2024.01.26_PURExpress_DNAconcs_v2\2024.01.26_PURExp_DNA_concs_Biotek4_v2.xpt
Protocol File Path:	C:\Users\Biotek4\Box\biocircuits\ZJurado\Biotek\Protocols\deGFP_MGapt_384.prt



Plate Number	Plate 1
Date	1/26/2024
Time	5:15:28 PM
Reader Type:	Synergy H1
Reader Serial Number:	18060417
Reading Type	Reader

Procedure Details

Plate Type	384 WELL PLATE
Eject plate on completion	
Set Temperature	Setpoint 37°C
	Preheat before moving to next step
Start Kinetic	Runtime 12:00:00 (HH:MM:SS), Interval 0:03:00, 241 Reads
    Read	mGapt
	Fluorescence Endpoint
	B2..D8
	Filter Set 1
	    Excitation: 610,  Emission: 650
	    Optics: Bottom,  Gain: 135
	Filter Set 2
	    Excitation: 610,  Emission: 650
	    Optics: Bottom,  Gain: 150
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10
	Read Height: 9.5 mm
    Read	deGFP
	Fluorescence Endpoint
	B2..D8
	Filter Set 1
	    Excitation: 485,  Emission: 515
	    Optics: Bottom,  Gain: 61
	Filter Set 2
	    Excitation: 485,  Emission: 515
	    Optics: Bottom,  Gain: 100
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10
	Read Height: 9.5 mm
End Kinetic	

Layout
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
A																									Well ID
B		SPL1	SPL4	SPL7	SPL10	SPL13	SPL16	SPL19																	Well ID
C		SPL2	SPL5	SPL8	SPL11	SPL14	SPL17	SPL20																	Well ID
D		SPL3	SPL6	SPL9	SPL12	SPL15	SPL18	SPL21																	Well ID
E																									Well ID
F		SPL1	SPL4	SPL7	SPL10		SPL25	SPL28	SPL31	SPL34															Well ID
G		SPL2	SPL5	SPL8	SPL11		SPL26	SPL29	SPL32	SPL35															Well ID
H		SPL3	SPL6	SPL9	SPL12		SPL27	SPL30	SPL33	SPL36															Well ID
I		SPL1	SPL2																						Well ID
J		SPL13	SPL16	SPL19	SPL22		SPL37	SPL40	SPL43	SPL46															Well ID
K		SPL14	SPL17	SPL20	SPL23		SPL38	SPL41	SPL44	SPL47															Well ID
L		SPL15	SPL18	SPL21	SPL24		SPL39	SPL42	SPL45	SPL48															Well ID
M																									Well ID
N																									Well ID
O																									Well ID
P																									Well ID

mGapt:610,650

Time	T° mGapt:610,650	B2	B3	B4	B5	B6	B7	B8	C2	C3	C4	C5	C6	C7	C8	D2	D3	D4	D5	D6	D7	D8	F2	F3	F4	F5	F7	F8	F9	F10	G2	G3	G4	G5	G7	G8	G9	G10	H2	H3	H4	H5	H7	H8	H9	H10	I2	I3	J2	J3	J4	J5	J7	J8	J9	J10	K2	K3	K4	K5	K7	K8	K9	K10	L2	L3	L4	L5	L7	L8	L9	L10
0:00:00	37.0	263	154	80	56	152	68	28	243	186	125	91	100	133	6	340	219	297	126	252	58	17																																																		
0:03:00	37.0	520	348	177	97	143	90	15	431	323	146	145	175	133	31	507	355	249	126	232	109	27																																																		
0:06:00	37.0	701	369	181	125	114	43	21	471	424	350	126	58	75	37	573	418	456	96	148	67	27																																																		
0:09:00	37.0	717	446	330	159	124	84	24	457	500	312	167	157	52	0	670	494	501	154	256	90	39																																																		
0:12:00	37.0	836	507	276	185	118	67	46	496	541	231	95	82	80	11	671	575	359	193	191	76	6																																																		
0:15:00	37.0	970	625	362	207	196	62	0	684	579	223	273	179	71	19	812	502	628	220	293	66	33																																																		
0:18:00	37.1	1211	626	312	208	93	54	39	857	541	381	157	97	65	5	1114	686	565	211	215	126	32																																																		
0:21:00	37.0	1372	919	353	234	289	83	17	897	720	353	246	179	80	12	1279	702	553	198	286	62	24																																																		
0:24:00	37.0	1322	955	485	312	205	115	29	1214	953	483	296	123	125	25	1214	881	678	341	301	24	37																																																		
0:27:00	37.0	1609	1039	576	291	187	79	33	1378	1050	433	294	109	85	12	1380	924	750	315	263	49	32																																																		
0:30:00	37.0	1692	1315	558	280	182	193	2	1359	1067	501	375	234	145	21	1643	1122	752	401	289	178	2																																																		
0:33:00	37.0	1855	1216	715	422	197	156	7	1668	1063	571	324	243	107	56	1845	1254	814	294	259	149	13																																																		
0:36:00	37.0	2064	1315	676	538	212	122	39	1796	1149	654	430	153	124	31	2208	1269	989	554	255	145	2																																																		
0:39:00	37.0	2507	1555	740	506	153	130	19	1893	1187	770	448	214	135	27	1961	1334	1105	500	440	170	15																																																		
0:42:00	37.0	2513	1661	908	447	180	198	0	2016	1342	989	591	248	129	38	2085	1752	1122	508	430	182	1																																																		
0:45:00	37.0	2658	1749	899	583	258	157	5	2101	1471	729	454	268	149	6	2297	1560	1102	515	391	159	18																																																		
0:48:00	37.0	2502	1738	959	554	252	222	3	2177	1698	912	549	394	230	2	2393	1652	1223	574	360	153	17																																																		
0:51:00	37.0	2781	1727	1023	577	348	245	12	2177	1581	872	490	351	182	21	2605	1770	1320	577	438	138	23																																																		
0:54:00	37.0	2755	1884	966	731	211	214	25	2197	1736	847	483	345	211	27	2537	1711	1177	575	538	122	4																																																		
0:57:00	37.0	2681	1868	1050	523	315	211	9	2390	1768	786	694	438	273	15	2434	1895	1299	605	618	101	12																																																		
1:00:00	37.0	2801	1964	1032	681	480	236	15	2330	1765	849	553	409	254	49	2368	1962	1180	662	351	203	17																																																		
1:03:00	37.0	2966	2022	1127	770	380	276	37	2521	1747	1211	633	471	235	39	2658	1871	1182	579	590	234	41																																																		
1:06:00	37.0	3132	1888	834	709	345	261	0	2453	1946	1035	719	416	220	23	2829	1856	1092	737	471	271	13																																																		
1:09:00	37.0	2949	2073	1074	592	448	263	33	2613	2045	869	654	384	309	4	3115	2066	1199	768	517	299	6																																																		
1:12:00	37.0	3220	1812	1294	808	521	199	10	2725	2262	1234	608	386	248	30	3206	2095	1319	632	566	250	29																																																		
1:15:00	37.0	3289	2157	1145	882	390	300	45	2857	2060	1097	646	531	265	18	3159	1971	1522	709	601	308	36																																																		
1:18:00	37.0	3858	2229	1284	930	511	281	10	2967	2085	1215	728	531	282	28	3047	2325	1546	823	535	322	18																																																		
1:21:00	37.0	3455	2272	1233	891	612	207	6	2887	2302	1341	758	454	360	13	3445	2232	1442	775	681	236	16																																																		
1:24:00	37.0	3854	2350	1364	923	472	253	35	2997	2267	1323	947	580	230	25	3178	2286	1685	853	571	259	18																																																		
1:27:00	37.0	3912	2885	1202	924	608	320	0	3096	2581	1468	727	520	319	18	3511	2543	1446	878	555	240	0																																																		
1:30:00	37.0	4028	2669	1418	1095	551	404	10	3313	2471	1373	729	730	290	0	3862	2604	1558	844	588	325	33																																																		
1:33:00	37.0	4315	2594	1536	914	670	310	9	3196	2697	1466	1048	560	278	30	3662	2825	1812	967	561	357	27																																																		
1:36:00	37.0	4224	2895	1350	1036	668	335	4	3487	2423	1685	861	575	425	27	4025	2660	1614	921	735	309	1																																																		
1:39:00	37.0	4296	2837	1670	1122	697	427	29	3460	3046	1728	1151	524	427	53	3934	2743	1856	972	630	278	60																																																		
1:42:00	37.0	4206	3148	1633	1187	654	245	19	3613	2960	1649	1137	641	280	9	4162	2929	1770	909	718	315	21																																																		
1:45:00	37.0	4796	2785	1609	1213	539	361	18	4210	3000	1887	940	696	463	1	4504	3214	1767	1138	743	309	16																																																		
1:48:00	37.0	4926	3232	1721	1234	603	350	36	4005	3135	1771	1144	611	472	20	4750	3004	1960	1200	736	385	15																																																		
1:51:00	37.0	5400	3316	1888	1097	788	370	7	4468	3422	2013	1173	574	390	19	4794	3402	2024	1227	877	335	25																																																		
1:54:00	37.0	5209	3705	1881	1352	621	326	30	4424	3085	1757	1255	912	433	75	4429	3318	2242	1290	768	295	19																																																		
1:57:00	37.0	5410	3618	1743	1471	774	518	7	4293	3435	1841	1143	672	378	32	5005	3556	2241	1069	895	509	15																																																		
2:00:00	37.0	5558	3559	2120	1521	886	415	15	4626	3584	2170	1299	736	436	8	5070	3376	2195	1151	714	443	38																																																		
2:03:00	37.0	5724	3722	2049	1302	687	392	16	4905	4120	2068	1160	664	395	0	5177	3555	2466	1354	874	487	4																																																		
2:06:00	37.0	5437	3687	2196	1346	818	450	40	4871	3839	2524	1284	809	506	16	5159	3999	2625	1381	929	408	30																																																		
2:09:00	36.9	5790	4325	2389	1170	646	547	52	5060	3882	2454	1607	823	496	31	5423	4099	2772	1261	1017	478	17																																																		
2:12:00	37.0	5496	4103	2320	1602	749	397	46	5258	4321	2531	1195	675	433	16	5559	4016	2696	1437	923	480	0																																																		
2:15:00	36.9	5830	4168	2553	1304	875	644	28	5421	4174	2478	1341	875	508	37	5966	4017	2733	1741	936	415	6																																																		
2:18:00	37.0	6286	4511	2345	1487	976	534	7	5228	4181	2607	1544	879	370	35	5678	4645	2643	1492	874	544	35																																																		
2:21:00	37.0	5866	4323	2685	1535	962	479	19	5700	4685	2875	1574	862	390	31	6364	4362	2646	1643	1056	514	19																																																		
2:24:00	37.0	6588	4441	2966	1873	951	579	6	5180	4677	2827	1678	912	544	15	6096	4406	3010	1483	1214	517	3																																																		
2:27:00	37.0	6498	4492	2689	1452	901	495	25	5836	4073	3061	1860	849	554	27	6475	4581	2768	1695	950	595	49																																																		
2:30:00	37.0	6691	5431	2830	1830	1171	665	45	5812	4654	3171	1711	926	544	15	6125	4868	3215	1740	976	542	18																																																		
2:33:00	37.0	6877	4936	2966	1747	1007	442	67	6250	4933	3155	1740	1030	784	0	6263	4691	3464	1861	1004	472	17																																																		
2:36:00	37.0	6494	4816	3341	1841	1136	627	30	5944	4984	3086	1995	1093	608	0	6687	5105	3094	1594	1151	763	6																																																		
2:39:00	37.0	7095	5222	3028	1993	1288	529	4	6259	4915	3103	1996	991	492	18	6374	5162	3723	1748	1259	644	19																																																		
2:42:00	37.0	6629	5387	3218	2092	1282	733	11	6567	5011	3547	1954	965	680	17	6665	5212	3454	2086	1197	625	29																																																		
2:45:00	37.0	7457	5474	3247	1999	1291	650	30	5771	5350	3240	2231	1167	611	30	6787	5527	3439	2151	1335	763	25																																																		
2:48:00	37.0	7144	5238	3617	1909	1116	733	8	6229	5120	3542	2128	1172	611	10	6550	5577	3531	2133	1229	646	31																																																		
2:51:00	37.0	7693	5453	3705	2262	1300	752	35	6275	5363	3931	2208	1182	764	3	6732	5725	3819	2116	1390	777	17																																																		
2:54:00	37.0	7418	6034	4109	2095	1200	824	12	6656	5391	3867	2083	1311	609	11	6929	5746	4029	2253	1246	649	49																																																		
2:57:00	37.0	7639	5955	4011	2059	1314	658	43	6555	5752	4071	2388	1393	780	22	7422	5570	4046	2403	1210	773	23																																																		
3:00:00	37.0	6758	6145	4219	2490	1348	704	32	6463	5647	4063	2210	1170	761	51	7804	5718	4149	2476	1337	753	25																																																		
3:03:00	37.1	7697	5811	3809	2446	1495	673	33	6739	5819	3804	2264	1460	747	13	6909	6027	4296	2221	1385	980	18																																																		
3:06:00	37.0	8065	6179	3968	2514	1444	873	1	7144	5620	4542	2669	1423	962	9	7267	6003	4412	2617	1419	784	12																																																		
3:09:00	37.0	8197	6219	4101	2565	1465	875	10	7064	5839	3950	2842	1591	750	2	7517	6132	4257	2630	1575	742	23																																																		
3:12:00	37.0	7696	6127	4489	2742	1565	690	40	7114	5738	4109	2926	1473	821	10	7763	6340	4744	2703	1549	860	17																																																		
3:15:00	37.0	7739	6143	4656	2594	1484	882	31	7490	5889	4267	2749	1367	687	37	7784	6882	4315	2787	1476	902	9																																																		
3:18:00	37.0	8088	6512	4364	2741	1631	903	42	7886	6263	4567	2911	1460	1013	16	8029	6675	4512	2824	1469	723	7																																																		
3:21:00	37.0	8363	6371	4823	2863	1666	920	26	7629	6283	4667	3008	1654	1106	42	7934	6115	4614	2744	1864	960	31																																																		
3:24:00	37.0	8254	6338	5011	3010	1631	903	16	7765	6395	4955	3007	1827	877	14	8193	6865	4759	2987	1639	971	5																																																		
3:27:00	37.0	8389	6645	5168	3195	1608	868	12	7323	6640	4785	3200	1641	1011	8	8558	6885	5297	3109	1813	1110	11																																																		
3:30:00	37.0	8539	7361	5079	3465	1683	994	23	8067	7330	5380	3464	1718	1172	1	8230	6895	5225	3242	1862	1002	8																																																		
3:33:00	37.0	8930	7548	5046	3288	1975	1102	10	7987	7044	5629	3780	1794	912	1	8624	7410	5128	3245	1646	821	10																																																		
3:36:00	37.0	8685	7587	5259	3848	1861	1212	42	8239	6822	5805	3297	1891	1092	54	8673	7022	5414	3848	1983	1149	32																																																		
3:39:00	37.0	8877	7533	5334	3690	1898	1004	21	8375	7058	5852	3525	1967	1063	27	8736	7158	5477	3835	2100	1113	11																																																		
3:42:00	37.0	9143	7293	5467	3434	2038	1212	20	8194	7266	5803	3864	1887	1149	47	9065	7578	5278	3695	2157	1175	37																																																		
3:45:00	37.0	9447	8144	5618	3780	2495	1218	36	8451	7763	5555	4154	2242	1388	30	8722	7746	5960	4036	2353	1078	10																																																		
3:48:00	37.0	9253	8566	6046	3955	2454	1350	16	8882	7450	5847	4402	2148	1242	37	9466	8190	6089	4082	2315	1038	19																																																		
3:51:00	37.0	9367	8190	6311	3905	2259	1226	1	8890	7874	6092	4078	2218	1443	25	8822	8387	6296	4063	2387	1367	25																																																		
3:54:00	37.0	9915	8153	6575	4251	2400	1499	10	8631	8235	6089	4363	2407	1314	13	9574	8345	6739	4307	2543	1143	3																																																		
3:57:00	37.0	9967	8557	6491	4354	2896	1459	40	9384	8510	6378	4955	2324	1571	0	9674	8931	6674	4319	2379	1529	20																																																		
4:00:00	36.9	10401	8947	7171	4287	2259	1565	1	9180	8728	6598	4631	2289	1674	22	9887	9353	6858	4783	2721	1489	1																																																		
4:03:00	37.0	10788	8731	6793	4984	2880	1742	11	9631	8954	7336	5085	2568	1672	15	10920	9475	7280	4781	2716	1608	22																																																		
4:06:00	37.0	10616	9016	7319	5070	3137	1596	25	9967	9459	7392	4934	3015	1678	56	11011	9820	7483	5228	2947	1463	32																																																		
4:09:00	37.1	11256	9897	7864	5045	3201	1932	20	9942	9899	7941	5104	3110	1815	9	10918	10214	7614	5099	2690	1576	11																																																		
4:12:00	37.0	11182	10079	8374	5596	3618	1843	7	10431	9826	8264	5741	3145	1993	29	11130	10430	8213	5407	2978	1615	4																																																		
4:15:00	37.0	11522	10526	8776	5595	3706	1962	22	11042	11214	8556	6316	3418	2234	3	11859	10854	8387	5633	3398	1862	28																																																		
4:18:00	37.0	12760	11069	9001	5660	3956	1962	11	10415	10248	9307	5818	3646	2242	25	12335	11635	8956	6269	3567	1972	8																																																		
4:21:00	37.0	12899	11513	9461	6563	3833	2117	14	11258	11594	9172	6363	3601	2368	32	13138	12233	9135	6435	3416	2024	40																																																		
4:24:00	37.0	13174	11735	10024	6202	4245	2489	31	11866	11871	9579	7276	4219	2541	49	12971	12508	9356	6957	4127	1986	19																																																		
4:27:00	37.0	13546	11744	9994	6435	4466	2475	11	12766	12319	9867	7435	4036	2440	0	14453	12739	9516	7088	4499	2550	36																																																		
4:30:00	37.0	13994	12851	10151	6987	4809	2471	25	13122	12425	9686	6997	4340	2603	34	14559	13418	10598	7100	4146	2261	7																																																		
4:33:00	37.0	14523	13171	10700	7195	4333	2913	40	13322	13531	10604	7563	4545	2875	38	14540	14054	10487	7412	4318	2312	7																																																		
4:36:00	37.0	15201	13599	10728	7341	4965	2639	10	13775	13469	10421	8661	4903	3070	31	15616	14409	10337	7271	4648	2909	47																																																		
4:39:00	37.0	15411	13265	11003	7156	4634	3003	23	14410	14052	11213	7780	4969	2949	13	15416	14057	10855	7397	4688	2497	27																																																		
4:42:00	37.0	15476	14048	11341	7777	4824	2905	1	14809	14537	11229	8294	5099	3045	0	16594	14740	10565	8348	4795	2926	4																																																		
4:45:00	37.0	17179	14113	11961	7587	5453	2704	12	14901	14271	11560	8181	5183	3226	15	16532	14467	10840	8283	4881	2731	12																																																		
4:48:00	37.0	17401	14662	11654	7733	5325	3353	28	15562	14603	11660	8042	5377	3093	40	16397	14899	11299	8651	5225	2912	26																																																		
4:51:00	37.0	16898	14849	11641	7342	5178	3173	30	16525	14569	11810	8252	5377	3482	11	17455	14803	11596	8060	5384	3060	16																																																		
4:54:00	37.0	17199	15297	11864	8229	5390	3336	18	16708	15142	12182	8009	5417	3406	7	18112	15058	10850	8529	5380	3365	42																																																		
4:57:00	37.0	18385	15558	12029	8446	5292	3265	41	17744	15174	11958	8924	5103	3608	20	18435	16226	11614	8695	5568	3304	1																																																		
5:00:00	37.0	18575	15870	12078	8624	5587	3370	22	17073	15402	11743	9184	5266	3589	19	17385	14814	12133	9323	5505	3347	19																																																		
5:03:00	37.0	19103	15901	12273	8187	5437	3473	37	17809	14830	12192	8944	5427	3296	22	17762	15667	12540	8725	5703	3228	1																																																		
5:06:00	37.0	19345	16453	13043	9049	5861	3513	44	18213	16436	12138	9290	5443	3593	11	18318	15872	11628	8725	5915	3164	18																																																		
5:09:00	37.0	18743	16533	12328	8478	5624	3314	18	17781	16669	12685	9387	5563	3905	58	19034	16486	11968	8937	6221	3470	21																																																		
5:12:00	37.0	19752	16329	13029	8731	5842	3513	38	18561	15929	12955	10080	5253	3780	4	19297	16228	12138	9277	5453	3230	1																																																		
5:15:00	37.0	19804	16342	13357	8517	6065	3620	16	18715	16238	13083	9367	5712	3897	1	20066	16193	12900	9127	6133	3504	37																																																		
5:18:00	37.0	20226	16729	12400	8755	5844	3557	27	18869	16315	13855	9703	5823	3947	25	19397	16971	12308	9885	5842	3633	17																																																		
5:21:00	37.0	20859	17787	13185	9011	6587	3338	31	18897	17137	12401	9702	5730	4056	39	20019	16302	12479	9061	6114	3676	17																																																		
5:24:00	37.0	20526	16704	12499	9096	6098	4049	0	20128	16674	13601	9365	5614	3992	24	20039	17983	12745	9484	6663	3765	57																																																		
5:27:00	37.0	20390	17828	13685	9208	6727	3808	9	20319	17281	13341	9249	6192	4114	54	20378	17137	12570	9385	6429	3515	33																																																		
5:30:00	37.0	20899	16766	13447	9015	6233	3881	9	19733	17507	14081	9730	6168	4007	13	20233	17294	13185	9745	5920	3427	22																																																		
5:33:00	37.0	21357	17469	14016	9699	6215	3542	21	20218	17153	13227	10707	6081	3944	1	19750	17340	12763	9718	6776	3179	28																																																		
5:36:00	37.0	20542	16882	13931	9503	6135	3670	0	19867	17220	13582	9317	5887	4216	51	21217	17031	13325	10167	6546	3887	21																																																		
5:39:00	37.0	21587	17855	13453	8872	6464	3696	24	20302	17298	13408	10089	6039	4126	44	20733	17792	12685	9629	6511	4076	32																																																		
5:42:00	37.0	21476	18348	13176	9233	6419	3687	18	20066	18254	13562	9726	6194	4231	49	20905	18464	12890	9706	6542	3736	33																																																		
5:45:00	37.0	21838	17817	13920	9030	5919	3842	15	20290	17691	13360	10195	6319	4016	25	21637	17774	13436	9787	6467	3819	2																																																		
5:48:00	37.0	21357	17087	13448	9202	6262	4138	21	20787	17880	13893	9836	6538	4033	3	21220	17597	12600	9309	5781	4012	13																																																		
5:51:00	37.0	20764	17428	14375	9696	6470	3753	8	20724	17421	13364	10298	6043	4277	14	21678	17473	13194	10007	6537	3857	13																																																		
5:54:00	37.0	21747	17959	14505	9701	6338	3858	0	21258	17768	13699	10052	5887	4402	39	20736	17607	13346	9631	6946	3786	6																																																		
5:57:00	37.0	22748	17959	14139	9910	6344	4046	20	21011	18244	13750	10252	6177	4122	3	21622	18564	13455	9598	6473	4015	21																																																		
6:00:00	37.0	22881	17922	13481	8876	6759	3872	38	21389	17926	13596	9738	6314	4151	0	21975	17598	13035	9874	6925	4006	12																																																		
6:03:00	37.0	22915	18392	13339	9491	6449	4125	13	22118	18245	13967	10173	6748	4373	3	22143	18780	13480	9826	6596	3935	2																																																		
6:06:00	37.0	22893	18376	13692	9405	6363	3933	22	20753	17600	13884	10132	6555	4084	10	22206	17949	13384	10279	6216	3954	11																																																		
6:09:00	37.0	22997	18543	13365	8946	6725	3993	18	21106	18505	14042	10299	5707	4522	18	21941	18388	13914	10141	6734	3947	40																																																		
6:12:00	37.0	23146	18365	14029	10018	6952	4181	31	21889	17709	14259	10586	6172	4598	24	22086	18114	14329	10301	6846	4001	1																																																		
6:15:00	37.0	22821	18560	13928	9670	6630	3889	12	21388	18260	13732	10531	6180	4556	11	22602	19226	14350	10357	6779	3994	4																																																		
6:18:00	37.0	23360	19135	14280	9199	6727	4043	19	22181	18757	14564	9991	6427	4443	20	22379	18658	13698	10188	6851	4084	11																																																		
6:21:00	37.0	23745	18586	14811	9625	6904	3931	8	21879	18445	14579	10756	6631	4352	14	22477	18454	14575	10148	6590	3962	42																																																		
6:24:00	37.0	23716	19658	14675	9715	6640	4271	11	21563	18194	15120	10301	6354	4428	0	22321	18957	13520	10130	6940	4088	24																																																		
6:27:00	37.0	24191	18758	14474	9830	6920	4133	21	21837	19024	14464	10679	6563	4676	35	23749	18753	14107	10098	6869	4138	31																																																		
6:30:00	37.0	23656	19192	14674	9737	6705	3855	47	21949	17985	14436	10074	6640	4567	38	22595	19025	13861	9961	6869	4257	34																																																		
6:33:00	37.0	23666	18780	14722	9881	6692	4292	10	20883	19589	14393	10514	6622	4334	27	23036	18880	13565	10157	6885	4352	20																																																		
6:36:00	37.0	23556	19574	14586	10007	6900	4207	25	21640	18541	13998	10869	6822	4203	64	22917	18453	13822	10298	7112	4195	23																																																		
6:39:00	37.0	24143	18596	14718	10331	6596	4072	6	22909	18774	14145	10303	6616	4141	0	23825	19034	13931	10564	6867	4360	24																																																		
6:42:00	37.0	23895	19116	14957	9585	6963	4341	11	22182	18415	14302	10799	6451	4227	24	23452	18998	13941	10407	7120	4140	28																																																		
6:45:00	37.0	24634	19148	15024	10788	6641	4247	55	22652	19514	14248	10665	6684	4957	24	23190	18653	14106	10613	7127	4578	5																																																		
6:48:00	37.0	24536	19058	14479	10077	6597	4276	15	22726	19457	14783	10886	6440	4696	47	23110	19419	14138	10403	6997	4280	43																																																		
6:51:00	37.0	24438	20248	14198	9365	7054	4257	15	22314	19190	14193	10538	6904	4242	18	23919	18933	14587	10096	7084	4436	33																																																		
6:54:00	37.0	23696	19598	15154	9317	6845	4285	26	22075	19110	14058	10134	6520	4791	10	23152	19342	14055	10616	7141	3837	30																																																		
6:57:00	37.1	24426	20438	14862	10197	6812	4361	11	22374	19383	14394	10400	6498	4278	7	23201	20109	14676	10328	6939	3949	43																																																		
7:00:00	37.0	24017	20771	15596	9659	6540	4157	36	22902	19232	14690	10657	6289	4466	5	23963	19401	14737	9838	6742	4506	17																																																		
7:03:00	37.0	25611	19657	14752	9832	7130	4430	6	22728	19188	15060	10428	6505	4776	18	23768	19364	14284	10428	6885	4506	57																																																		
7:06:00	37.0	23876	19874	15496	9893	6946	4215	12	23257	18741	14527	10490	6623	4352	34	23217	19715	13876	10645	7098	4020	7																																																		
7:09:00	37.0	24735	19954	14947	9565	6897	4230	32	23250	18755	14432	10065	6693	4310	3	23823	20078	14980	10426	7123	4284	10																																																		
7:12:00	37.0	23865	18933	15359	10217	7244	3868	46	21966	18779	15366	10600	6914	4557	32	23937	19404	14526	10448	7172	4190	12																																																		
7:15:00	37.0	24869	19856	15155	10306	7060	4296	29	22426	18747	14997	10595	6928	4539	17	23314	19357	14503	10064	6968	4025	12																																																		
7:18:00	37.0	24142	20131	14707	9888	6775	4496	4	23141	19265	14972	10840	6717	4766	21	23694	19140	14948	10462	7420	4670	8																																																		
7:21:00	37.0	25258	19157	15706	10144	6701	4282	28	24036	19232	14675	10937	6720	4652	3	23220	19650	14533	10803	6437	4496	43																																																		
7:24:00	37.0	24962	20199	15394	9927	6941	4681	35	21561	19015	14394	10857	6654	4641	47	25099	19520	14982	10329	7315	4437	57																																																		
7:27:00	36.9	24122	20491	14842	10086	6816	4286	7	22165	19021	14614	10692	6808	4519	45	24877	20763	14714	10625	7383	4290	36																																																		
7:30:00	37.0	25554	20582	14651	9963	6484	4259	22	22961	19615	14763	10747	6374	4534	54	24460	20226	15058	10254	7022	4112	5																																																		
7:33:00	37.0	25158	19656	15288	10868	7053	4326	35	23297	19905	14840	11196	6714	4581	43	23520	19237	14823	10849	7081	4125	4																																																		
7:36:00	37.0	25497	19849	15056	10258	6968	4211	23	23327	19316	15796	10905	7206	4569	19	24157	19647	14734	10451	7282	4543	28																																																		
7:39:00	37.0	25920	20447	15740	10605	7393	4469	45	23379	19963	15066	11270	6760	4642	23	24698	19741	15126	10508	7018	4175	2																																																		
7:42:00	37.0	25642	19918	15262	10583	6992	4254	40	23058	19625	14343	10819	6890	4598	40	24412	19930	14769	10226	7375	4290	8																																																		
7:45:00	37.0	25106	20205	14987	11074	7569	4527	25	23709	20049	14509	10727	6687	4529	9	24693	19829	15229	10684	7136	4639	33																																																		
7:48:00	37.0	25278	20324	15073	10217	7353	4539	35	22506	19044	15035	10834	6868	4251	47	24130	19928	13913	11247	7411	4755	15																																																		
7:51:00	37.0	24916	20575	15518	10239	7333	4488	5	24399	20197	14822	10565	7002	4363	31	24298	20108	14636	10824	7224	4390	13																																																		
7:54:00	37.0	26041	20723	14947	10173	7307	4437	63	23290	20027	14514	10924	6598	5016	6	24748	20088	15077	11368	7087	4434	43																																																		
7:57:00	37.0	25960	21242	15166	10308	7005	4436	12	23027	21215	15189	11073	6738	4461	41	25333	20756	14296	10966	7007	4223	17																																																		
8:00:00	37.0	25078	20256	15608	9814	6544	4061	38	23800	20493	15198	11286	6941	4765	8	25131	19337	14957	11010	6911	4280	95																																																		
8:03:00	37.0	25422	19874	15789	10269	7272	4269	36	23999	19652	14931	11214	6755	4806	7	25476	20384	14590	10643	7169	5014	16																																																		
8:06:00	37.0	25222	20567	15515	10234	7333	4456	12	23756	20253	15357	10629	6674	4972	16	24637	20316	14946	10675	7319	4463	48																																																		
8:09:00	37.0	25966	19779	15251	10252	7129	4157	5	23551	20113	15203	11800	7054	4739	44	24593	20915	15063	10965	7242	4632	0																																																		
8:12:00	37.0	25928	20629	15217	10732	7273	4922	1	23262	20348	15523	11134	6757	4935	51	25749	19677	15048	11115	7291	4202	9																																																		
8:15:00	37.0	26197	20842	16018	10237	7465	4665	5	24096	20178	15427	11104	6971	4537	21	25583	20707	15235	10682	7398	4324	43																																																		
8:18:00	37.0	25540	21689	15101	10789	7419	4510	30	24243	19965	15672	11779	6574	4709	29	25673	20053	14767	10391	7130	4521	5																																																		
8:21:00	37.0	26013	20741	15198	10368	7174	4298	19	23464	20488	14684	11311	6815	4190	0	25617	20346	15239	10848	7032	4218	32																																																		
8:24:00	37.0	26533	20191	15749	10359	6623	4859	21	23581	19936	15889	11284	6640	4658	28	24886	20267	15085	11494	7305	4525	22																																																		
8:27:00	37.0	25061	20597	15219	10308	7079	4727	31	23584	20581	15662	11371	7121	4569	3	25176	20337	14445	10981	7041	4472	21																																																		
8:30:00	37.0	25903	20941	15554	10962	7332	4312	27	23308	20443	15196	11212	6986	4822	31	24485	21048	15546	10758	7412	4450	3																																																		
8:33:00	37.0	26848	20711	16241	9851	7367	4321	0	25203	20569	15831	11489	7109	4955	0	25014	19782	15303	11323	7701	4654	13																																																		
8:36:00	37.0	25077	20767	15404	10381	7104	4606	0	24199	19746	15560	10953	7323	4650	24	25747	21032	15006	10909	7434	4909	11																																																		
8:39:00	37.0	25862	21203	16131	10022	6676	4647	26	24630	20129	15421	11000	7120	4862	9	25481	21007	14802	10877	7108	4253	21																																																		
8:42:00	37.0	26982	21205	15722	10199	7416	4922	10	23863	20045	15672	10719	7105	4657	21	25904	22035	14924	11161	7428	4622	38																																																		
8:45:00	37.0	26358	20196	15251	10594	7567	4501	32	23945	20705	15384	10731	7112	4727	22	26603	20161	14655	10684	7373	4072	30																																																		
